criterion,n_paired,n_models_overlap,pearson_r,mae,exact_match,within_1,binary_agree,cohen_kappa
accuracy,1200,2,0.244,0.718,0.472,0.867,0.641,0.221
completeness,1200,2,0.291,0.654,0.463,0.902,0.645,0.273
