feature,beta,se,z,p_value
is_large,-0.6639963853943314,0.06967391711740957,-9.530056768236692,0.0
is_heterographic,-0.5836217959495213,0.06221919774723259,-9.380091950405772,0.0
is_non_topical,-0.47571369210592734,0.061568285979809734,-7.7266028205158985,2.19824158875781e-14
is_topical,-0.7062502064292914,0.06316980725268671,-11.180186186166548,0.0
